sIP,dIP,sPort,dPort,protocol,packets,bytes,flags,sTime,duration,eTime,sensor,in,out,nhIP,initialFlags,sessionFlags,attributes,application,class,type,sTime+msec,eTime+msec,dur+msec,iType,iCode,scc,dcc
8.8.8.8,192.168.1.11,0,0,1,4,336,,1445485056.712,3.003,1445485059.715,S0,0,0,0.0.0.0,,,S,0,all,in,1445485056.712,1445485059.715,3.003,0,0,us,--
192.168.1.11,8.8.8.8,0,2048,1,4,336,,1445485056.695,3.007,1445485059.702,S0,0,0,0.0.0.0,,,S,0,all,out,1445485056.695,1445485059.702,3.007,8,0,--,us
192.168.1.3,224.0.0.252,49596,5355,17,2,114,,1445485080.256,0.002,1445485080.258,S0,0,0,0.0.0.0,,,S,53,all,out,1445485080.256,1445485080.258,0.002,,,--,--
192.168.1.8,224.0.0.251,5353,5353,17,41,14087,,1445485079.854,18.631,1445485098.485,S0,0,0,0.0.0.0,,,,0,all,out,1445485079.854,1445485098.485,18.631,,,--,--
192.168.1.3,224.0.0.252,49577,5355,17,2,114,,1445485140.162,0.102,1445485140.264,S0,0,0,0.0.0.0,,,S,53,all,out,1445485140.162,1445485140.264,0.102,,,--,--
192.168.1.3,224.0.0.252,50736,5355,17,2,114,,1445485200.171,0.102,1445485200.273,S0,0,0,0.0.0.0,,,S,53,all,out,1445485200.171,1445485200.273,0.102,,,--,--
192.168.1.2,224.0.0.251,5353,5353,17,1,121,,1445485219.116,0.000,1445485219.116,S0,0,0,0.0.0.0,,,,0,all,out,1445485219.116,1445485219.116,0.000,,,--,--
192.168.1.10,239.255.255.250,50887,1900,17,2,453,,1445485234.375,0.003,1445485234.378,S0,0,0,0.0.0.0,,,,80,all,out,1445485234.375,1445485234.378,0.003,,,--,--
192.168.1.3,224.0.0.252,59768,5355,17,2,114,,1445485260.383,0.104,1445485260.487,S0,0,0,0.0.0.0,,,S,53,all,out,1445485260.383,1445485260.487,0.104,,,--,--
192.168.1.7,224.0.0.251,5353,5353,17,3,541,,1445485066.841,199.996,1445485266.837,S0,0,0,0.0.0.0,,,,0,all,out,1445485066.841,1445485266.837,199.996,,,--,--
192.168.1.4,224.0.0.251,5353,5353,17,2,241,,1445485203.037,80.697,1445485283.734,S0,0,0,0.0.0.0,,,,0,all,out,1445485203.037,1445485283.734,80.697,,,--,--
192.168.1.1,224.0.0.1,0,0,2,3,108,,1445485057.828,249.970,1445485307.798,S0,0,0,0.0.0.0,,,S,0,all,out,1445485057.828,1445485307.798,249.970,,,--,--
192.168.1.1,224.0.0.22,0,0,2,3,120,,1445485058.135,255.296,1445485313.431,S0,0,0,0.0.0.0,,,S,0,all,out,1445485058.135,1445485313.431,255.296,,,--,--
192.168.1.7,224.0.1.60,0,0,2,3,96,,1445485064.278,249.458,1445485313.736,S0,0,0,0.0.0.0,,,S,0,all,out,1445485064.278,1445485313.736,249.458,,,--,--
192.168.1.3,224.0.0.252,55349,5355,17,1,57,,1445485320.292,0.000,1445485320.292,S0,0,0,0.0.0.0,,,,53,all,out,1445485320.292,1445485320.292,0.000,,,--,--
